singkat,hasil
aa,kakak
aaah,ah
aaahhhh,ah
aahhseeeek,asik
aamiin,amin
abgmu,abang mu
abis,habis
adek,adik
adekku,adik aku
adl,adalah
adlh,adalah
adoeh,aduh
ae,saja
aer,air
agr,agar
ahahaha,haha
ahahahaha,haha
ahahahahahhaha,haha
ahahahanjirrr,anjir
ahahahhaha,haha
ai,aku
aing,saya
aj,saja
aja,saja
ajaa,saja
ajaaaa,saja
ajah,saja
aje,saja
ajee,saja
ajg,anjing
ajha,saja
ak,aku
aka,akan
akhirnyaaaa,akhirnya
akhrnya,akhirnya
akn,akan
akunya,aku nya
akutu,aku tuh
akuuu,aku
alesan,alasan
alhmdllh,alhamdulillah
Allaaaaah,allah
allaah,allah
ama,sama
amat,sangat
ame,sama
ami,amin
amiin,amin
amn,amin
ampe,sampai
ampir,hampir
amrik,amerika
ana,saya
ancoooree,hancur
ancur,hancur
and,dan
ane,aku
anet,banget
angus,hangus
anjaayy,anjir
anjay,anjir
anjer,anjir
anjink,anjing
anjirr,anjir
anjirrr,anjir
anjirrrr,anjir
annoying,menyebalkan
apaaa,apa
apasaja,apa saja
aplg,apalagi
aplkasinya,aplikasi nya
apt,apartmen
aptnya,apartmen nya
apus,hapus
aq,aku
arepin,harapin
aslii,asli
asliii,asli
asoy,asik
astagah,astaga
asyik,asik
atiii,hati
ato,atau
atw,atau
awkward,canggung
awlnya,awalnya
ayukk,yuk
back to maba,kembali ke maba
bacotmu,bacot mu
bae,saja
baeek,baik
bagay,bagai
bahahahahajahahhaaa,haha
bakal,akan
bakalam,bakalan
bales,balas
balesnya,balas nya
balik,kembali
bandel,nakal
bangetttt,banget
bangetttttt,banget
bangke,bangkai
bangsaaaaat,bangsat
banyaaak,banyak
bapaaakk,bapak
bapakku,bapak aku
bapakmu,bapak mu
barangkt,berangkat
bareng,bersama
barunikah,baru nikah
bat,banget
bawaannye,bawaan nya
bberapa,beberapa
bbrapa,beberapa
bbrp,beberapa
bcr,bocor
bcs,karena
bcz,karena
beb,sayang
becanda,bercanda
bege,bego
begimana,bagaimana
bego,bodoh
begok,bodoh
begoloe,bodoh kamu
begonya,bego nya
belanjaaaaa,belanja
belanjaitugakribet,belanja itu tidak ribet
belom,belum
bencandaan,bercanda
bener,benar
bener2,benar benar
benerin,benarkan
benerrr,benar
bengong,heran
beraniin,berani
berantem,kelahi
berhappylah,bersenanglah
berlku,berlaku
berngkat,berangkat
berpandapat,berpendapat
bet,banget
beta,aku
bete,kesal
bett,banget
beuh,weh
beuhh,weh
bget,banget
bgitu,begitu
bgmn,bagaimana
bgn,bangun
bgst,bangsat
bgt,banget
bgttt,banget
bhay,bahaya
bhkn,bahkan
bhn,bahan
bhs,bahasa
bhsa,bahasa
biadap,biadab
bicah,bocah
bijakberplastik,bijak berplastik
bingit,banget
bisabisanya,bisa bisa nya
bising,berisik
bjuang,berjuang
bkn,bukan
bknnya,bukan nya
blg,bilang
bljr,belajar
blm,belum
blom,belum
bls,balas
blunder,melakukan kesalahan fatal
bngt,banget
bnyk,banyak
bnyknya,banyak nya
boakaka,wkwk
bobo,tidur
bobok,tidur
bodo,bodoh
bodohnyakan,bodoh nya kan
boi,woi
bokap,ayah
bonek,suporter klub sepak bola
bong200,cebong iq dua ratus
bongak,bodoh
bongg,cebong
boongan,bohongan
boongin,bohong
boro,jangankan
bosen,bosan
bpk,bapak
brangkat,berangkat
brekekekekek,wkwk
brekekekekekek,wkwk
breng,bareng
brg,bareng
brgkt,berangkat
brgny,barang nya
brhnti,berhenti
bri,beri
brikan,berikan
brikut,berikut
brisik,berisik
brkt,berangkat
brlmpah,berlimpah
brng,bersama
broo,bro
brooo,bro
brpapasan,bertemu
bru,baru
bruakakakak,wkwk
bs,bisa
bsa,bisa
bsk,besok
bsok,besok
btw,omong-omong
bucin,budak cinta
bukaaa,buka
bukber,buka bersama
buktinya,bukti nya
bumidatar,bumi datar
buset,heran
busyuuk,busuk
bwt,untuk
byee,bye
byk,banyak
calonpenghunineraka,calon penghuni neraka
calonyaaahh,calon nya
cantikkk,cantik
caoer,cari perhatian
cape,capek 
